policy_label,policy_name,num_instances,cache_size_tokens_per_instance,request_count,input_tokens,output_tokens,total_tokens,simulated_cached_tokens,token_hit_rate,request_hit_rate,max_mean_req_count,max_mean_token_load,cv_req_count,cv_token_load,jain_req_count,jain_token_load,total_logical_cache_tokens,total_physical_cache_tokens,effective_replication_ratio,effective_cache_size_ratio,elapsed_sec,model,cache_size,load_metric,max_min_token_load,max_min_req_count,max_min_input_tokens,load_imbalance_pct
cache_first,cache_first,5,1125,4223356,135338664262,1147556664,136486220926,51743281908,0.3823244613071619,0.4097435783296506,1.006209280013335,1.0038942124593546,0.0038416703246197,0.003948887201916,0.999985241786925,0.9999844065330264,49566082966,70043024669,1.413124065443021,0.7076519496442765,58.10165286064148,minimax_m25,1125,total_tokens,1.0104228987131372,1.010351767515564,1.0128869221695918,0.3894212459354618
load_first,load_first,5,1125,4223356,135338664262,1147556664,136486220926,10168568331,0.075134244795817,0.1043253280092893,1.0077507082045654,1.0094806731290096,0.0053743854286599,0.0068626038097716,0.9999711168155266,0.9999529068868158,49566082966,99525160759,2.007928704539142,0.4980256508806268,47.5464928150177,minimax_m25,1125,total_tokens,1.0171283224092984,1.0126326433499881,1.0127991655983162,0.9480673129009576
round_robin,round_robin,5,1125,4223356,135338664262,1147556664,136486220926,11153064374,0.0824085595555233,0.1083903417092947,1.000000947114096,1.0065479634871952,4.735570479969011e-07,0.0037278070879537,0.9999999999997756,0.999986103647426,49566082966,101941652521,2.0566816343128664,0.4862201243577974,38.759599447250366,minimax_m25,1125,total_tokens,1.0102370771484401,1.0000011838914986,1.0030679008954717,0.6547963487195219
sticky,sticky,5,1125,4223356,135338664262,1147556664,136486220926,14235100740,0.1051813302401336,0.1367916888843848,4.4208125007695305,4.798720184327988,1.7131946090488288,1.899371742895676,0.2541272961256476,0.2170321153613031,49566082966,49566082966,1.0,1.0,38.921591997146606,minimax_m25,1125,total_tokens,112.65738854259733,87.00219012115564,104.16169066303094,379.87201843279877
cache_first,cache_first,5,5000,4223356,135338664262,1147556664,136486220926,51840966298,0.3830462387129955,0.418857894053923,1.0085297095485202,1.0079339333070088,0.0067279338444666,0.0075820102503197,0.9999547369550204,0.9999425164251156,49566082966,69952233849,1.411292352816823,0.7085704092451734,58.07133340835571,minimax_m25,5000,total_tokens,1.0217301758691397,1.0202559631313446,1.013933841617422,0.7933933307008756
load_first,load_first,5,5000,4223356,135338664262,1147556664,136486220926,10195306427,0.075331809151471,0.1088473242606117,1.0077507082045654,1.0094740190642353,0.0053743854286599,0.0068612658032711,0.9999711168155266,0.9999529252477132,49566082966,99525160759,2.007928704539142,0.4980256508806268,47.65304160118103,minimax_m25,5000,total_tokens,1.0170927486435128,1.0126326433499881,1.0127991655983162,0.9474019064235284
round_robin,round_robin,5,5000,4223356,135338664262,1147556664,136486220926,11180616123,0.0826121358886446,0.1129679809137567,1.000000947114096,1.006563484287073,4.735570479969011e-07,0.0037353953137536,0.9999999999997756,0.9999860470165384,49566082966,101941652521,2.0566816343128664,0.4862201243577974,39.01459550857544,minimax_m25,5000,total_tokens,1.0102567261061273,1.0000011838914986,1.0030679008954717,0.6563484287072985
sticky,sticky,5,5000,4223356,135338664262,1147556664,136486220926,14264203987,0.1053963703926185,0.1421755589630616,4.4208125007695305,4.798828205015029,1.7131946090488288,1.8994258220954616,0.2541272961256476,0.2170224391565129,49566082966,49566082966,1.0,1.0,39.50558018684387,minimax_m25,5000,total_tokens,112.66746940917739,87.00219012115564,104.16169066303094,379.8828205015029
cache_first,cache_first,5,25000,4223356,135338664262,1147556664,136486220926,54166453914,0.400228967895974,0.4604340718613349,1.002157999467722,1.0044094224403686,0.0021270633885807,0.0026747111725486,0.999995475621811,0.9999928459713237,49566082966,68789784072,1.3878398282790785,0.7205442441005603,57.893608808517456,minimax_m25,25000,total_tokens,1.0073705101228738,1.0059979939342656,1.0036601920796595,0.4409422440368571
load_first,load_first,5,25000,4223356,135338664262,1147556664,136486220926,11086321457,0.0819154047178873,0.1323554064587498,1.0077507082045654,1.0095168270510202,0.0053743854286599,0.0067899056149035,0.9999711168155266,0.9999538993071126,49566082966,99525160759,2.007928704539142,0.4980256508806268,48.29865837097168,minimax_m25,25000,total_tokens,1.0170185642375342,1.0126326433499881,1.0127991655983162,0.9516827051020194
