minimax_m25.oracleGeneral GDSF cache size      308KiB, 4223356 req, miss ratio 0.3170, byte miss ratio 0.1713
minimax_m25.oracleGeneral GDSF cache size      616KiB, 4223356 req, miss ratio 0.2820, byte miss ratio 0.0871
minimax_m25.oracleGeneral GDSF cache size     1232KiB, 4223356 req, miss ratio 0.2723, byte miss ratio 0.0728
minimax_m25.oracleGeneral GDSF cache size     3081KiB, 4223356 req, miss ratio 0.2658, byte miss ratio 0.0643
minimax_m25.oracleGeneral GDSF cache size     6163KiB, 4223356 req, miss ratio 0.2624, byte miss ratio 0.0585
minimax_m25.oracleGeneral GDSF cache size    12326KiB, 4223356 req, miss ratio 0.2601, byte miss ratio 0.0541
minimax_m25.oracleGeneral GDSF cache size    30815KiB, 4223356 req, miss ratio 0.2582, byte miss ratio 0.0507
minimax_m25.oracleGeneral GDSF cache size    61631KiB, 4223356 req, miss ratio 0.2574, byte miss ratio 0.0494
minimax_m25.oracleGeneral LHD cache size       61KiB, 4223356 req, miss ratio 0.6355, byte miss ratio 0.7293
minimax_m25.oracleGeneral LHD cache size      123KiB, 4223356 req, miss ratio 0.5252, byte miss ratio 0.5629
minimax_m25.oracleGeneral LHD cache size      308KiB, 4223356 req, miss ratio 0.3960, byte miss ratio 0.3362
minimax_m25.oracleGeneral LHD cache size      616KiB, 4223356 req, miss ratio 0.3426, byte miss ratio 0.2244
minimax_m25.oracleGeneral LHD cache size     1232KiB, 4223356 req, miss ratio 0.3100, byte miss ratio 0.1573
minimax_m25.oracleGeneral LHD cache size     3081KiB, 4223356 req, miss ratio 0.2812, byte miss ratio 0.0991
minimax_m25.oracleGeneral LHD cache size     6163KiB, 4223356 req, miss ratio 0.2689, byte miss ratio 0.0737
minimax_m25.oracleGeneral LHD cache size    12326KiB, 4223356 req, miss ratio 0.2626, byte miss ratio 0.0588
minimax_m25.oracleGeneral LHD cache size    30815KiB, 4223356 req, miss ratio 0.2586, byte miss ratio 0.0515
minimax_m25.oracleGeneral LHD cache size    61631KiB, 4223356 req, miss ratio 0.2573, byte miss ratio 0.0493
minimax_m25.oracleGeneral Sieve cache size       61KiB, 4223356 req, miss ratio 0.6821, byte miss ratio 0.7227
minimax_m25.oracleGeneral Sieve cache size      123KiB, 4223356 req, miss ratio 0.5816, byte miss ratio 0.5403
minimax_m25.oracleGeneral Sieve cache size      308KiB, 4223356 req, miss ratio 0.3649, byte miss ratio 0.1695
minimax_m25.oracleGeneral Sieve cache size      616KiB, 4223356 req, miss ratio 0.3082, byte miss ratio 0.0919
minimax_m25.oracleGeneral Sieve cache size     1232KiB, 4223356 req, miss ratio 0.2865, byte miss ratio 0.0763
minimax_m25.oracleGeneral Sieve cache size     3081KiB, 4223356 req, miss ratio 0.2707, byte miss ratio 0.0621
